user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,hashtags
Tom Basile 🇺🇸,"New York, NY","Husband, Father, Columnist & Commentator. Author of Tough Sell: Fighting the Media War in Iraq. Bush Admin Alum. Newsmax Contributor. Fmr Exec Dir NYSGOP",16-04-2009 20:06,2253,1677,24,TRUE,25-07-2020 12:27,Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the A… https://t.co/1QvW0zgyPu,Twitter for Android,FALSE,['wear mask']
Time4fisticuffs,"Pewee Valley, KY",#Christian #Catholic #Conservative #Reagan #Republican #Capitalist; Sports lover - #BBN #Cincinnati #Reds #Bengals #Trump2020,28-02-2009 18:57,9275,9525,7254,FALSE,25-07-2020 12:27,@diane3443 @wdunlap @realDonaldTrump Trump never once claimed #COVID19 was a hoax. We all claim that this effort to… https://t.co/Jkk8vHWHb3,Twitter for Android,FALSE,['N95']
ethel mertz,Stuck in the Middle ,#Browns #Indians #ClevelandProud #[]_[] #Cavs #Resist,07-03-2019 01:45,197,987,1488,FALSE,25-07-2020 12:27,@brookbanktv The one gift #COVID19 has give me is an appreciation for the simple things that were always around me… https://t.co/Z0pOAlFXcW,Twitter for iPhone,FALSE,['China Coronavirus Updates']
DIPR-J&K,Jammu and Kashmir,"🖊️Official Twitter handle of Department of Information and Public Relations, Govt of Jammu & Kashmir",12-02-2017 06:45,101009,168,101,FALSE,25-07-2020 12:27,"25 July : Media Bulletin on Novel #CoronaVirusUpdates #COVID19 
@kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI… https://t.co/MN0EEcsJHh",Twitter for Android,FALSE,['wear mask']
🎹 Franz Schubert,Новоро́ссия,"🎼  #Новоро́ссия #Novorossiya #оставайсядома #STAYatHOME Polymath, composer, English.",19-03-2018 16:29,1180,1071,1287,FALSE,25-07-2020 12:27,#coronavirus #covid19 deaths continue to rise. It's almost  as bad as it ever was.  Politicians and businesses want… https://t.co/hXMHooXX2C,Twitter Web App,FALSE,['3M9322']
hr bartender,"Gainesville, FL",Workplace tips and advice served up in a friendly place. Corporate blog of @ITMGroup by @Sharlyn_Lauby. Cheers!,12-08-2008 18:19,79956,54810,3801,FALSE,25-07-2020 12:27,"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/bjZxzGPMbK",Buffer,FALSE,['3M9501']
Derbyshire LPC,,,03-02-2012 18:08,608,355,95,FALSE,25-07-2020 12:27,You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacy… https://t.co/OSu5Q4kdd7,TweetDeck,FALSE,['Mask shortage']
Prathamesh Bendre,,"A poet, reiki practitioner and a student of law.",25-04-2015 08:15,25,29,18,FALSE,25-07-2020 12:26,"Praying for good health and recovery of @ChouhanShivraj .
#covid19
#covidPositive",Twitter for Android,FALSE,['3M9322']
Member of Christ 🇨🇳🇺🇸🇮🇳🇮🇩🇧🇷🇳🇬🇧🇩🇷🇺,👇🏻location at link below👇🏻,"Just as the body is one & has many members, & all the members of the body, though many, are one body, so it is with Christ. 1 Corinthians 12:12",17-08-2014 04:53,55201,34239,29802,FALSE,25-07-2020 12:26,"POPE AS GOD - Prophet Sadhu Sundar Selvaraj. Watch here at https://t.co/7X5RTyKVji 

#HurricaneHanna #COVID19… https://t.co/06dZcGUnwL",Twitter for iPhone,FALSE,['3M9322']
Voice Of CBSE Students,,,14-07-2020 17:50,8,10,7,FALSE,25-07-2020 12:26,"49K+ Covid19 cases still no response from 
@cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exa… https://t.co/kV2ZKmumu1",Twitter Web App,FALSE,['news']
Creativegms,"Dhaka,Bangladesh","I'm Motalib Mia, Logo -Logo Designer - Branding - Brand Identity Designer. I like to use my creativity, Client Satisfaction is my focus.

motalibmas@gmail.com",12-01-2020 09:03,241,1694,8443,FALSE,25-07-2020 12:26,"Order here: https://t.co/4NUrGX6EmA

#logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstract… https://t.co/0yPMoGqi9s",Twitter Web App,FALSE,['Coronavirus updates']
Africa Youth Advisory Board on DRR,Africa,Official account of the Africa Youth Advisory Board on Disaster Risk Reduction (DRR) of @_AfricanUnion . Facilitating meaningful engagement of African Youth.,13-05-2019 06:27,830,254,3692,FALSE,25-07-2020 12:26,"Let's all protect ourselves from #COVID19.
It's real and the numbers are climbing up fast in the Continent.
Let's n… https://t.co/byMSfxltrw",Twitter Web App,FALSE,['rules']
DailyaddaaNews,New Delhi,Breaking news alerts from India.,22-10-2016 09:18,546,29,88,FALSE,25-07-2020 12:26,Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 pa… https://t.co/cwfCcWyaDA,Twitter Web App,FALSE,['Flights'] 
Dimapur 24/7.,"Nagaland, India","strive to promote Truth with Integrity.
https://t.co/pOqdhk6Mhg",11-11-2019 12:02,274,32,378,FALSE,25-07-2020 12:26,"Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.

#Covid19 #keepsocialdistance… https://t.co/WOvFMqhuEO",Twitter for Android,FALSE,['Coronavirus updates']
ChennaiCityNow,,Individual tweeting about significant happenings in Chennai.,26-04-2009 09:38,3987,53,749,FALSE,25-07-2020 12:26,"July 25 #COVID19 update
#TamilNadu - 6988
Discharge- 7758
People tested - 61729
Actice cases - 52273
#chennai - 1329",Twitter for iPhone,FALSE,['traffic']
marc goovaerts🇪🇺🏳️‍🌈,Brussels,"Progressive mind. Flemish. Into movies, politics, travelling, swimming, gym, massage and Indonesia",13-06-2009 13:48,283,1432,1546,FALSE,25-07-2020 12:26,Second wave of #COVID19 in Flanders..back to more #homework again... https://t.co/9swImZACMN,Twitter for Android,FALSE,['U.S. Coronavirus Updates']
Dorian Aur,,,30-01-2011 18:40,46,108,453,FALSE,25-07-2020 12:26,"It is during our darkest moments that we must focus to see the #light.~Aristotle 
https://t.co/YLlS4Kj85c… https://t.co/tFJB7l1Kaw",Twitter Web App,FALSE,['U.S. news']
Coronavirus Law,"Florida, USA",COVID-19 Practice of Lechner Law,03-12-2019 19:00,14,24,74,FALSE,25-07-2020 12:26,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,Twitter for iPad,FALSE,['Flights'] 
The Voice of GenX,,,28-05-2011 15:28,292,1037,58,FALSE,25-07-2020 12:26,"@EvanAKilgore @realDonaldTrump Good Patriots!
Call to Volunteer to be an Election Judge. 
Polls cannot open without… https://t.co/qA3mA4zedZ",Twitter for iPhone,FALSE,['United States']
APO Group English,#AFRICA #MENA,"Latest #Africa & #MENA related #News releases issued by companies, govs, intl orgs, NGOs & #UN #PR FR:@APO_source_fr PT:@APO_source_pt AR:@APO_source_ar",22-02-2011 09:09,10661,6,2037,TRUE,25-07-2020 12:26,Coronavirus - South Africa: COVID-19 update for South Africa (24 July 2020) @nicd_sa @MoetiTshidi @WHOAFRO… https://t.co/WQzAdkpXC5,Africa Newsroom,FALSE,['traffic']
Micah Pollak,Northwest Indiana,Associate Professor of Economics (PhD in Economics) and Director of the Center for Economic Education & Research (CEER) at Indiana University Northwest.,22-07-2011 13:41,751,183,1308,FALSE,25-07-2020 12:26,"@JimBnntt Your image doesn't list a source, but I'd be careful with overall ""risk of dying"" statistics related to… https://t.co/GRjVq8vYMy",Twitter Web App,FALSE,['United States']
CAWST,100+ countries,"Providing training, education and technical consulting services in water and sanitation",06-08-2009 02:43,3038,2713,7445,FALSE,25-07-2020 12:26,"The first comprehensive review of #WASH &amp; #COVID19.

Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4",Twitter for iPhone,FALSE,['Stay at home']
Florian Bieber,Graz,"Niko i ništa, professor, so-called Balkan expert, coordinator @biepag director @cseesgraz, Jean Monnet Chair, tweets English, manchmal Deutsch & ponekad naški.",18-06-2009 09:46,18145,1389,13578,FALSE,25-07-2020 12:26,Holy water in times of #COVID19 https://t.co/YaZ49yxL27,Twitter for Android,FALSE,['USA']
